#{"t_start": 1749861829.2679536, "env_id": "None"}
r,l,t
-9088.704,126,2.092759
-10678.516,140,2.22284
-5937.5854,144,2.257312
-3612.4478,149,2.303393
-12847.646,152,2.331528
-614.29877,160,2.40641
-9816.657,168,2.480507
-5901.9917,202,2.794144
-19002.23,238,3.129835
-5133.0273,261,3.344161
-8414.203,294,3.650963
-1286.4812,310,3.799922
-13671.772,312,3.818715
-6569.305,313,3.828082
-5126.8657,355,4.744779
-9840.326,359,4.808203
-15128.871,359,4.808253
-2562.9976,375,5.06627
-20545.275,388,5.27618
-17939.354,397,5.420077
-4522.1245,400,5.47047
-4819.8887,401,5.487337
-771.4132,401,5.487382
-3083.1401,401,5.487392
927.3092,401,5.487402
-18845.654,401,5.487411
2128.489,401,5.48742
-21198.705,401,5.487428
-931.98267,401,5.487437
-19146.652,401,5.487445
-9680.036,401,5.487453
-3166.8545,401,5.487461
-14676.988,257,5.745165
-2947.7632,65,5.855281
-3800.2075,59,6.018325
-1651.0846,49,6.262072
-5089.468,57,6.405919
-651.5454,104,6.422702
-10626.708,259,6.456924
-9769.444,223,6.456973
-4544.072,60,6.456985
-2591.6162,60,6.456995
-5873.1797,61,6.474327
-4054.4697,66,6.489862
-10996.771,320,6.505129
-1906.5869,63,6.505168
-1524.3419,64,6.522293
-3644.1616,64,6.522345
-3720.9434,66,6.556413
-7199.8345,108,6.556458
-6439.999,68,6.58941
-4304.0615,52,6.589454
-6226.871,68,6.589466
-3293.8252,164,6.669321
-3294.3386,336,6.700417
-4524.258,45,6.750078
-5334.4595,58,6.79802
-6603.719,172,6.830584
-18408.914,229,6.927594
-4008.404,93,6.992558
-3799.4663,48,7.041222
-9579.174,373,7.074763
-7971.784,331,7.074806
-3813.22,352,7.104984
-4933.5625,212,7.186901
-3375.9866,50,7.218341
-3338.8284,47,7.21839
-4750.209,47,7.26873
-16504.902,198,7.268776
-4959.206,51,7.285079
-2704.1504,51,7.285115
-5392.632,55,7.316521
-2766.4429,49,7.350698
-3122.4714,47,7.350742
-5130.7617,52,7.350754
-4112.678,57,7.384163
-3422.142,55,7.384203
-1652.4192,9,7.415191
-2511.9365,55,7.415237
-5303.4414,58,7.466391
-5998.5586,135,7.466441
